(2, 0)
(2, 0)
(2, 2)
(2, 0)
(2, 2)
(1, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(4, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(4, 2)
(2, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(4, 2)
(2, 1)
(4, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(3, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(3, 2)
(5, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(3, 2)
(5, 2)
(3, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(3, 2)
(5, 2)
(3, 1)
(5, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(3, 2)
(3, 1)
(5, 1)
(5, 1)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(3, 2)
(3, 1)
(5, 1)
(5, 1)
(4, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
(4, 1)
(3, 2)
(3, 1)
(5, 1)
(5, 1)
(4, 2)
(6, 2)
(2, 0)
(2, 2)
(1, 1)
(3, 1)
(1, 0)
(1, 2)
(3, 0)
(3, 1)
(2, 2)
(2, 1)
(4, 1)
