(0, 0)
(0, 0)
(2, 0)
(0, 0)
(2, 0)
(0, 1)
(0, 0)
(0, 1)
(3, 0)
(0, 0)
(0, 1)
(4, 0)
(0, 0)
(0, 1)
(5, 0)
(0, 0)
(0, 1)
(6, 0)
(0, 0)
(0, 1)
(6, 0)
(6, 1)
(0, 0)
(0, 1)
(6, 0)
(6, 2)
(0, 0)
(0, 1)
(6, 0)
(6, 2)
(7, 0)
(0, 0)
(0, 1)
(6, 0)
(6, 2)
(7, 0)
(7, 2)
(0, 0)
(0, 1)
(7, 0)
(8, 2)
(0, 0)
(0, 1)
(7, 0)
(8, 2)
(8, 3)
(0, 0)
(7, 0)
(8, 2)
(8, 3)
(0, 2)
(0, 0)
(7, 0)
(8, 2)
(0, 2)
(8, 4)
(0, 0)
(7, 0)
(8, 2)
(0, 2)
(8, 4)
(9, 3)
(0, 0)
(7, 0)
(8, 2)
(0, 2)
(8, 4)
(9, 3)
(9, 2)
(0, 0)
(7, 0)
(8, 2)
(0, 2)
(8, 4)
(9, 3)
(9, 2)
(9, 4)
(0, 0)
(7, 0)
(8, 2)
(8, 4)
(9, 3)
(9, 2)
(9, 4)
(0, 3)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(0, 3)
(8, 5)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(0, 3)
(8, 5)
(9, 5)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 4)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 4)
(1, 4)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 4)
(2, 4)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 4)
(2, 4)
(0, 5)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 4)
(2, 4)
(0, 5)
(2, 5)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 5)
(2, 6)
(0, 0)
(7, 0)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 5)
(2, 6)
(3, 6)
(8, 2)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 5)
(2, 6)
(3, 6)
(8, 0)
(9, 3)
(9, 2)
(9, 4)
(8, 5)
(9, 5)
(0, 5)
(2, 6)
(3, 6)
(8, 0)
(9, 1)
(9, 3)
(9, 2)
(8, 5)
(9, 5)
(0, 5)
(2, 6)
(8, 0)
(9, 1)
(4, 6)
(9, 3)
(9, 2)
(8, 5)
(9, 5)
(0, 5)
(2, 6)
(8, 0)
(9, 1)
(4, 6)
(4, 7)
(9, 2)
(9, 5)
(0, 5)
(2, 6)
(8, 0)
(9, 1)
(4, 7)
(8, 6)
(9, 2)
(9, 5)
(0, 5)
(2, 6)
(8, 0)
(9, 1)
(4, 7)
(8, 6)
(9, 6)
(9, 2)
(9, 5)
(2, 6)
(8, 0)
(9, 1)
(4, 7)
(8, 6)
(9, 6)
(0, 6)
(9, 2)
(9, 5)
(8, 0)
(9, 1)
(8, 6)
(9, 6)
(0, 6)
(4, 8)
(9, 1)
(8, 6)
(9, 6)
(0, 6)
(4, 8)
(9, 0)
(9, 6)
(0, 6)
(4, 8)
(9, 0)
(9, 7)
(9, 6)
(4, 8)
(9, 0)
(9, 7)
(0, 7)
(9, 6)
(9, 0)
(9, 7)
(0, 7)
(4, 9)
(9, 6)
(9, 0)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(9, 6)
(9, 0)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(5, 9)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(6, 8)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(6, 7)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(6, 7)
(7, 8)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(6, 7)
(7, 8)
(7, 9)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(7, 8)
(7, 9)
(6, 6)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(7, 8)
(7, 9)
(6, 5)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(7, 8)
(7, 9)
(6, 4)
(9, 7)
(0, 7)
(4, 9)
(3, 9)
(6, 9)
(7, 8)
(7, 9)
(6, 4)
(5, 4)
